"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","31","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [John]","allureParameterizedTest description"
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","2","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","dynamicTitleTest","Test with parameter [dynamic parameter]",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","0","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customStaticLabelTest","customStaticLabelTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","javadocDescriptionTest","javadocDescriptionTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","annotationTitleTest","Static name",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customDynamicLabelTest","customDynamicLabelTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Mike]","allureParameterizedTest description"
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","2","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinksTest","staticLinksTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonDynamicLabelTest","commonDynamicLabelTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","dynamicDescriptionTest","dynamicDescriptionTest()","Dynamic description"
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","9","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","dynamicAttachmentTest","dynamicAttachmentTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","annotationDescriptionTest","annotationDescriptionTest()","Static description"
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","dynamicLinkTest","dynamicLinkTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinkTest","staticLinkTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","4","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","6","","io.qameta.allure.examples.junit5.AllureQuickStartTest","","io.qameta.allure.examples.junit5.AllureQuickStartTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","15","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","annotatedAttachmentTest","annotatedAttachmentTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","0","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonStaticLabelTest","commonStaticLabelTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","250","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","37","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Wed Jul 12 14:48:51 GMT 2023","Wed Jul 12 14:48:51 GMT 2023","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
